kode_provinsi,nama_provinsi,tahun,jenis_rabies,jumlah_kasus_rabies,orderer
51,"Prov. Bali",2011,"LYSSA",23,3
51,"Prov. Bali",2012,"GHPR",55836,1
51,"Prov. Bali",2012,"VAR",52250,2
51,"Prov. Bali",2012,"LYSSA",8,3
52,"Prov. Nusa Tenggara Barat",2010,"GHPR",0,1
52,"Prov. Nusa Tenggara Barat",2010,"VAR",0,2
52,"Prov. Nusa Tenggara Barat",2010,"LYSSA",0,3
52,"Prov. Nusa Tenggara Barat",2011,"GHPR",0,1
52,"Prov. Nusa Tenggara Barat",2011,"VAR",0,2
52,"Prov. Nusa Tenggara Barat",2011,"LYSSA",0,3
52,"Prov. Nusa Tenggara Barat",2012,"GHPR",0,1
52,"Prov. Nusa Tenggara Barat",2012,"VAR",0,2
52,"Prov. Nusa Tenggara Barat",2012,"LYSSA",0,3
53,"Prov. Nusa Tenggara Timur",2010,"GHPR",3547,1
53,"Prov. Nusa Tenggara Timur",2010,"VAR",2154,2
53,"Prov. Nusa Tenggara Timur",2010,"LYSSA",25,3
53,"Prov. Nusa Tenggara Timur",2011,"GHPR",5500,1
53,"Prov. Nusa Tenggara Timur",2011,"VAR",4871,2
53,"Prov. Nusa Tenggara Timur",2011,"LYSSA",12,3
53,"Prov. Nusa Tenggara Timur",2012,"GHPR",5564,1
53,"Prov. Nusa Tenggara Timur",2012,"VAR",5176,2
53,"Prov. Nusa Tenggara Timur",2012,"LYSSA",7,3
61,"Prov. Kalimantan Barat",2010,"GHPR",0,1
61,"Prov. Kalimantan Barat",2010,"VAR",0,2
61,"Prov. Kalimantan Barat",2010,"LYSSA",0,3
61,"Prov. Kalimantan Barat",2011,"GHPR",0,1
61,"Prov. Kalimantan Barat",2011,"VAR",0,2
61,"Prov. Kalimantan Barat",2011,"LYSSA",0,3
61,"Prov. Kalimantan Barat",2012,"GHPR",3527,1
61,"Prov. Kalimantan Barat",2012,"VAR",1706,2
61,"Prov. Kalimantan Barat",2012,"LYSSA",35,3
62,"Prov. Kalimantan Tengah",2010,"GHPR",566,1
62,"Prov. Kalimantan Tengah",2010,"VAR",390,2
62,"Prov. Kalimantan Tengah",2010,"LYSSA",1,3
62,"Prov. Kalimantan Tengah",2011,"GHPR",935,1
62,"Prov. Kalimantan Tengah",2011,"VAR",636,2
62,"Prov. Kalimantan Tengah",2011,"LYSSA",2,3
62,"Prov. Kalimantan Tengah",2012,"GHPR",458,1
62,"Prov. Kalimantan Tengah",2012,"VAR",292,2
62,"Prov. Kalimantan Tengah",2012,"LYSSA",6,3
63,"Prov. Kalimantan Selatan",2010,"GHPR",65,1
63,"Prov. Kalimantan Selatan",2010,"VAR",53,2
63,"Prov. Kalimantan Selatan",2010,"LYSSA",0,3
63,"Prov. Kalimantan Selatan",2011,"GHPR",179,1
63,"Prov. Kalimantan Selatan",2011,"VAR",171,2
63,"Prov. Kalimantan Selatan",2011,"LYSSA",2,3
63,"Prov. Kalimantan Selatan",2012,"GHPR",1197,1
63,"Prov. Kalimantan Selatan",2012,"VAR",960,2
63,"Prov. Kalimantan Selatan",2012,"LYSSA",4,3
64,"Prov. Kalimantan Timur",2010,"GHPR",42,1
64,"Prov. Kalimantan Timur",2010,"VAR",2,2
64,"Prov. Kalimantan Timur",2010,"LYSSA",0,3
64,"Prov. Kalimantan Timur",2011,"GHPR",315,1
64,"Prov. Kalimantan Timur",2011,"VAR",260,2
64,"Prov. Kalimantan Timur",2011,"LYSSA",1,3
64,"Prov. Kalimantan Timur",2012,"GHPR",413,1
